people_ID,infect_prob
5942,0.8986388
18664,0.6347718
5603,0.61445767
5649,0.5837778
5099,0.82269406
18749,0.5709693
5228,0.67620784
5559,0.6094792
5220,0.66631037
5476,0.53753155
5260,0.71029854
17638,0.822355
18635,0.6264305
18794,0.7246928
5263,0.5314404
17680,0.8939297
18030,0.59852433
18090,0.589723
18455,0.6136511
18155,0.6082049
18116,0.6438644
18144,0.56435806
5218,0.81668615
5386,0.60900366
18105,0.7253441
5735,0.5031601
5900,0.67663956
18391,0.6583064
5786,0.73739874
18639,0.7333816
17984,0.52004117
18274,0.5900276
5425,0.7993921
6076,0.71009654
18545,0.70655286
17697,0.6140531
6137,0.5905707
6083,0.70291644
17730,0.65952754
5896,0.5821232
18906,0.62851197
17808,0.76743835
6078,0.8089539
5516,0.52104205
18093,0.6819407
6120,0.6893093
18154,0.909302
17935,0.7375011
18769,0.74474084
18264,0.5173038
18076,0.5513799
18035,0.62750494
18051,0.5643756
18676,0.68570787
5332,0.7427706
5898,0.8010408
18370,0.7397153
17706,0.61587507
5198,0.7045273
18360,0.7769855
18240,0.5811073
18691,0.71588874
5768,0.8356216
18315,0.57528627
18776,0.78263474
6225,0.77500784
17983,0.78818345
17973,0.85531753
5805,0.61806804
5500,0.74738103
5305,0.5732699
18243,0.6456415
5169,0.75823224
5258,0.8214666
17810,0.8914483
5714,0.8805982
6070,0.55585206
5959,0.68345493
18771,0.8156788
17765,0.864742
18822,0.85138327
17735,0.87011564
17966,0.5657991
18861,0.59918433
18236,0.7794958
18750,0.8433102
17809,0.67348033
6049,0.8722824
18465,0.7749132
6201,0.5745673
18877,0.77110577
5087,0.680287
17742,0.49264804
17941,0.72824705
18421,0.5510559
18489,0.54939675
6299,0.79674727
18428,0.8082065
5563,0.9196094
18796,0.72127223
5849,0.8019028
5661,0.8065652
5893,0.6511278
5378,0.6848763
5622,0.6574475
5823,0.47518262
18521,0.4922216
5502,0.56879175
18785,0.53564435
17783,0.5949748
18424,0.86123943
18147,0.57469946
18881,0.6588678
18851,0.70216006
17686,0.6293916
5100,0.77082366
5213,0.62869495
18252,0.58539456
5576,0.5133614
18050,0.85314727
5875,0.5321266
6059,0.5946933
18599,0.52422845
5173,0.5448524
5461,0.7509108
5151,0.73950636
5266,0.6189312
5514,0.65643585
5224,0.6439861
18069,0.50981957
5587,0.554278
17874,0.652249
5536,0.8489305
5215,0.7475151
5400,0.58482134
17857,0.52684027
6043,0.83481145
