people_ID,infect_prob
5942,53.15269
18664,51.671143
5603,53.349262
5649,52.607853
5099,53.4225
18749,52.86221
5228,52.64325
5559,54.37351
5220,51.821835
5476,51.7023
5260,52.08655
17638,48.64949
18635,51.397907
18794,54.357697
5263,51.852097
17680,60.750122
18030,50.925053
18090,49.803356
18455,51.01597
18155,52.499657
18116,51.751564
18144,51.429703
5218,58.386837
5386,54.754196
18105,52.692486
5735,50.22611
5900,51.417862
18391,52.56742
5786,51.112164
18639,52.759922
17984,53.528805
18274,52.52995
5425,52.527374
6076,52.0701
18545,51.337605
17697,51.12345
6137,51.10616
6083,53.0249
17730,51.56891
5896,53.722942
18906,52.032734
17808,52.427357
6078,52.58641
5516,50.168907
18093,50.881863
6120,51.69644
18154,51.923878
17935,52.2029
18769,50.599525
18264,51.48521
18076,51.239937
18035,49.404724
18051,50.719147
18676,48.333195
5332,50.746643
5898,54.8321
18370,51.7267
17706,51.654922
5198,53.181034
18360,51.011574
18240,50.152897
18691,51.169777
5768,50.30719
18315,49.19123
18776,49.80719
6225,52.104843
17983,50.817005
17973,50.563843
5805,55.63757
5500,53.12942
5305,53.57646
18243,53.822136
5169,53.381718
5258,52.924263
17810,63.157665
5714,50.62937
6070,52.858936
5959,53.798683
18771,51.533688
17765,53.239925
18822,51.12917
17735,49.55131
17966,52.45949
18861,52.554108
18236,51.805393
18750,53.34705
17809,52.747303
6049,52.50869
18465,51.241676
6201,52.073307
18877,50.824253
5087,51.959507
17742,50.34009
17941,55.894405
18421,51.810574
18489,50.31771
6299,51.54774
18428,51.26992
5563,54.261883
18796,55.420322
5849,50.508953
5661,51.869072
5893,53.025215
5378,58.19873
5622,51.950848
5823,52.273678
18521,50.960297
5502,53.41888
18785,52.071655
17783,50.36351
18424,54.741524
18147,50.650627
18881,55.45264
18851,47.724533
17686,51.973003
5100,51.533638
5213,51.8425
18252,51.608555
5576,51.87414
18050,51.892365
5875,51.25138
6059,53.245373
18599,52.314972
5173,52.975018
5461,51.408756
5151,56.70632
